Name,Kitchens,Delivery cost (PLN),Min order cost (PLN)
Orzo,"Włoska, Dania na lunch, Pizza",0.0,30.0
Tele Sajgon,"Tajska, Wołowina, Wieprzowina",2.0,25.0
Why Thai,"Tajska, Kaczka, Curry",0.0,30.0
Restauracja Koreańsko-Japońska Mei,"Sushi, Japońska, Owoce morza",0.0,30.0
Sokotra,"Dania na lunch, Arabska, Indyjska",0.0,30.0
Superiore,"Włoska, Makarony, Pizza",0.0,30.0
Kuchnia Wietnamska Mama Pho,"Chińska, Tajska, Wietnamska",0.0,30.0
Lunch For You,"Polska, Dania na lunch",0.0,35.0
Mai Pizza Break,"Włoska, Pizza, Sałatki",18.0,25.0
Popis Władzy,"Włoska, Pizza",18.0,25.0
Metronocni,"Włoska, Pizza, Sałatki",18.0,25.0
Niezłe Ziółko,"Kanapki, Sałatki",0.0,30.0
Pasadena,"Dania na lunch, Makarony, Sałatki",0.0,30.0
Master Sushi,"Sushi, Japońska",8.0,50.0
Bar Viet My,"Chińska, Tajska, Wietnamska",0.0,30.0
Sushi Mori Tarchomin,"Sushi, Japońska",10.0,90.0
Hong de Akasaka Warszawa,"Sushi, Przekąski, Zupy",0.0,30.0
U Tato,"Dania na lunch, Zupy, Gruzińska",0.0,30.0
Mix Masala Restauracja Indyjska,"Curry, Indyjska",15.0,50.0
United Chicken,"Burgery, Amerykańska, Drób",10.0,25.0
Silk&Spicy,"Tajska, Japońska",16.0,50.0
ToTò Eataliano,"Włoska, Makarony, Pizza",0.0,30.0
Bemowo Sushi,"Sushi, Japońska, Owoce morza",0.0,25.0
Indian Taste,"Curry, Indyjska",0.0,120.0
India Express by Mandala,Indyjska,5.0,30.0
Lamby's - Real Deal Food,"Francuska, Dania na lunch, Amerykańska",0.0,30.0
Studio Buffo,"Dania na lunch, Pierogi, Wieprzowina",0.0,30.0
Pielmień,Pierogi,0.0,50.0
Boscaiola,"Włoska, Dania na lunch, Makarony",13.0,50.0
Binh - Minh Bar - Restauracja,"Chińska, Tajska, Japońska",0.0,35.0
Novu Kuchnia & Bar,"Polska, Dania na lunch, Pierogi",0.0,30.0
Sumada sushi,"Sushi, Japońska, Pierogi",0.0,50.0
La Chica Sandwicheria,"Kanapki, Dania na lunch, Amerykańska",0.0,30.0
Bollywood Lounge,Indyjska,0.0,30.0
Kuchnia Smakosza,"Dania na lunch, Makarony, Sałatki",18.0,50.0
Pizza Dominium,"Makarony, Pizza",0.0,31.0
Sushi Nocą,"Sushi, Japońska, Wegańska",0.0,50.0
Barszawa,"Kanapki, Dania na lunch, Przekąski",0.0,30.0
Sushi Saska Kępa,"Chińska, Sushi, Japońska",0.0,40.0
Bombay Lounge,Indyjska,5.0,45.0
Pierogarnia U Kresowiaka,"Desery, Polska, Pierogi",0.0,30.0
Il Patio,"Włoska, Makarony, Pizza",0.0,30.0
"North Fish Warszawa, CH Złote Tarasy","Ryby, Owoce morza",0.0,30.0
Black Real Burgers,"Burgery, Przekąski, Amerykańska",16.0,50.0
Bar&Restauracja Mekong,"Tajska, Zupy",0.0,40.0
Adel Kebab,"Turecka, Falafel, Kebab",5.0,30.0
Shiva Lounge,"Dania na lunch, Indyjska",0.0,39.0
Fuzja na Wspólnej,"Chińska, Tajska, Wietnamska",0.0,30.0
Big Szef,"Turecka, Gyros, Kebab",0.0,30.0
Himalayan Yeti,"Tajska, Wegetariańska, Indyjska",5.0,50.0
Cafe Krucza 23,"Dania na lunch, Makarony, Sałatki",0.0,30.0
Benihana,"Sushi, Japońska, Dania na lunch",0.0,30.0
Dzikie Jadło Burger,"Burgery, Amerykańska",0.0,25.0
Restauracja Indyjska Kurkuma,"Curry, Indyjska",0.0,60.0
Shahi Curry,"Curry, Indyjska",0.0,50.0
Kumate Sushi,"Chińska, Sushi, Japońska",3.0,39.0
Restauracja Jordańska Kan Zamaan,"Dania na lunch, Międzynarodowa, Kebab",15.0,50.0
Art Sushi,"Sushi, Japońska, Dania na lunch",0.0,30.0
zaParowani Nocą,"Chińska, Pierogi",8.0,25.0
Naleśnikarnia Smile,"Dania na lunch, Przekąski, Naleśniki",10.0,40.0
30 Koszyków,"Makarony, Zupy, Sałatki",0.0,30.0
Pasibus,"Burgery, Amerykańska, Sałatki",0.0,30.0
NIENAŻARTY,"Dania na lunch, Makarony, Owoce morza",0.0,30.0
